메뉴이름,판매랑,메뉴믹스,공헌마진,메뉴믹스 분류,공헌마진 분류,메뉴판정
히비스커스 티 (Tall),1,0.38,1208.36,Low,High,Puzzle
캐모마일 티 (Tall),2,0.76,1103.36,Low,High,Puzzle
카페 모카 (Tall),0,0,1331.26,Low,High,Puzzle
카페 모카,2,0.76,1161.82,Low,High,Puzzle
카페 라떼 (Tall),4,1.52,1097.86,Low,High,Puzzle
카페 라떼,10,3.8,839.55,High,Low,Plowhorse
초코 라떼 (Tall),4,1.52,1528.56,Low,High,Puzzle
초코 라떼,16,6.08,1299.28,High,High,Star
유자차 (Tall),2,0.76,1600.36,Low,High,Puzzle
유자차,0,0,1171.36,Low,High,Puzzle
유자에이드 (Tall),6,2.28,1771.36,High,High,Star
유자 히비스커스 티 (Tall),3,1.14,2059,Low,High,Puzzle
유자 캐모마일 티 (Tall),1,0.38,1953.36,Low,High,Puzzle
얼음적게,0,0,0,Low,Low,Dog
얼음많이 (Tall),0,0,0,Low,Low,Dog
얼음많이,0,0,0,Low,Low,Dog
얼그레이 티 (Tall),0,0,1096.56,Low,High,Puzzle
얼그레이 초코,24,9.13,795.61,High,Low,Plowhorse
얼그레이 아메리카노 (Tall),5,1.9,1223.36,High,High,Star
얼그레이 아메리카노,0,0,889.36,Low,Low,Dog
얼그레이 라떼 (Tall),7,2.66,1095.86,High,High,Star
얼그레이 라떼,11,4.18,997.55,High,Low,Plowhorse
아메리카노 (Tall),32,12.17,1205.36,High,High,Star
아메리카노,38,14.45,776.36,High,Low,Plowhorse
시나몬 라떼,2,0.76,1132.59,Low,High,Puzzle
비타자몽 히비스커스 에이드 (Tall),10,3.8,1022.36,High,High,Star
복숭아 아이스티 (Tall),19,7.22,877.82,High,Low,Plowhorse
복숭아 아이스티,20,7.6,547.69,High,Low,Plowhorse
바닐라 아메리카노 (Tall),1,0.38,491.86,Low,Low,Dog
바닐라 아메리카노,1,0.38,1111.36,Low,High,Puzzle
바닐라 라떼 (Tall),16,6.08,909.33,High,Low,Plowhorse
바닐라 라떼,11,4.18,939.84,High,Low,Plowhorse
메이플 라떼,11,4.18,1246.43,High,High,Star
머그/유리잔 (Tall),0,0,0,Low,Low,Dog
레드베리 티 (Tall),1,0.38,1103.36,Low,High,Puzzle
레드베리 아이스티 (Tall),1,0.38,1508.46,Low,High,Puzzle
레드베리 아이스티,2,0.76,1325.69,Low,High,Puzzle
